Type of hardware,Model,Submodel,cluster_id
#REF!,NanoSIM,Verizon,0
unknown,NanonSIM,Verizon,0
,nano,at&t,0
,NanoSIM,AT&T,0
,NanoSIM,Verizon,0
si,NanoSIM,vERIZON,0
si,nano ,AT&T,0
---,NanoSIM,at&t,0
---,NanoSIM,vERIZON,0
,nano ,at&t,0
Nano SI2,,vERIZON,0
unknown,NanoSIM,Verizon,0
at&t,NanoSIM,,0
unknown,NanoSIM,Verizon,0
---,vERIZON,nano ,0
0,NanoSIM,Verizon-ay0,0
Nano SIIM,  ,Verizon,0
sim ,Nano SI7,ve,1
SIM Carrd,Nano SIM,AT&T,1
si,Nano SIM,at&,1
sim c,nANO sim,sT&T,1
si,Nano SIM-17b,at&t,1
SIM Cacd,Nano SIM,AT&T,1
si,nANO sim,ver,1
SIM C3rd,Nano SIM,AT&T,1
SIM %ard,nANO sim,VVerizon,1
sim ,NanoSIM,T&T,1
sim c,Nano SIM,???,1
SIM sard,nano,At&T,1
T&T,SIMvCard,Nano SIM-5ac,1
sim c,Nano SIM-557,AT#T,1
,nANO sim,wT&T,1
si,Nano SIM-014,,1
SIM $ard,nano,5G,1
SIM CCard T&T,Nano SIMM,0,1
SIM C5rd,Nano SI!,AT&T-03z,1
si,nANO sim,AT&T,1
si,nANO sim,Prepdid,1
sim,nANO sim Al&T,,1
SIM C@rd,Nano SIM,at&,1
SIM #ard,Nano SIM,AT&T,1
si,Nano SIM,P4epaid,1
SIM Carrd,nANO sim,T&T,1
sim c,Nanoo SIM,bG,1
,Nano SIIM,at& SIM Car*,1
SIM C*rd,nano,AT&&T,1
sim c,nANO sim,AT&T,1
sim c,Nano SIM,AT&T-c5y,1
SIM Carrd,Nano SIM-933,AT&T,1
sim c,480_Nano SIM,1a5_AT&T,1
SIM Cqrd,nANO sim,T&T,1
si,Nano SIM-3bx,at&t,1
sim ,Nano SIIM,AT&T,1
SIM Cakd,Nano SIM,A*&T,1
SIM &ard,Nanoo SIM,tT&T,1
sim ,Nano SIk,at,1
si,Nano SIM,,1
SIM Ca1d,nano,AT&T,1
sim,Nano SIM,4T&T,1
si,Nano SIM,AT&6,1
sim c,NanoSIM,AT&T,1
sim ,1x8_Nano SIM,hT&T,1
SIM Czrd,NanoSIM,at&t,1
SIM Ctrd,NanoSIM,at&t,1
SIM Ctrd,Nano SIM-56z,AT&T,1
Nano SIM,sim ,ya3_AT&T,1
si,Nano SIM-zxa,at&t,1
si,Nano SIM-c7a,AT&T,1
SIM C3rd,Nano SIM,^T&T,1
sim c,Nano SIM-170,at&t,1
sim ,Nano SI5,T&T,1
SIM Ckrd,NanoSIM,at&t,1
nANO sim,AT&T,sim c,1
nano,,AT&T-19z sim,1
Nano SIM,y05_AT&T,sim c,1
sim c,Nano SIM,ATyT,1
SIM &ard,Nano SIM,,1
nANO sim,Verizon,SIM #ard,1
SIM C8rd,Nano SIM-z3b,at&t,1
sim  T&T,,nano,1
sim,NanoSIM,AT&T-26b,1
sim c,10a_Nano SIM,at&t,1
SIM C@rd,Nano SIM-447,^T&T,1
si,nANO sim,AT&T-07y,1
SIM *ard,Nano SIIM,Verizon,1
SIM Carrd,Nano SIIM,at&t,1
sim c,NanoSIM,AT&T-50y,1
SIM Ca@d,az8_Nano SIM,AT&T,1
Nano S5M,sim,AT&T,1
si,Nano SIM,AT&T,1
sim c,nANO sim,V$rizon,1
ATT&T,Nano SIM,si,1
si,Nano SIM,,1
SIM Ca4d,nANO sim,AT&T,1
sim c,nano AT&T,,1
Nanoo SIM,AT&T,SIM C%rd,1
SIM sard,nANO sim,at&t,1
sim c,nANO sim,at,1
x3z_Nano SIM,,AT&T,1
sim ,NanoSIM,gT&T,1
si,nANO sim,086_AT&T,1
,mICRO sim,5w,2
SIM Carz,Micro SIM,5v,2
Micro SIM,,5v sim,2
sim,5v,unknown,2
SI! Card,Nano SIMM,AAT&T,3
SIMCard,Nano tIM,$erizon,3
SIMaCard,Nano SIM-31a,,3
SIMCard,Nano SwM,AAT&T,3
SIM gard,NanoSIM,AAT&T,3
0,nANO sim SIMfCard,Prephid,4
SIM Card-578,sano SIM,Prephid,4
SIM Card,Nn SM,Prephid,4
SIMCard,nANO sim,T&T,5
sim cARD,nANO sim,5G,5
SIM Card,Nano SIM,Verizon,5
,Nano SIM,AT&T,5
SIM  Card,NanoSIM,T&T,5
sim cARD,NanoSIM,AT#T,5
SIM Car6,nANO sim,4c3_5G,5
341_SIM Card,nano ,Verizov,5
SIMCard,Nano SIM,,5
SIM Caard,Nano SIM-715,55G,5
SIM Card at&t,NanoSIM,,5
SIMCard,Nano SIM,4ca_Verizon,5
sim,nANO sim,AT&T,5
SIM 2ard,Nano1SIM,5G,5
  ,5m,nANO sim,5
SIM Car2,NanooSIM,5g,5
sim,nANO sim,ATT&T,5
,nANO sim,SIM Card,5
SIM%Card,Nano SIM-6y7,0,5
sim cARD,nano ,5G,5
09z_SIM Card,nANO sim,5G,5
SIM Card,Nano 0IM,748_AT&T,5
SIM Card,NanodSIM,AT&T,5
nANO sim *T&T,SIM Card,,5
sim cARD,nano,Verizon,5
ATdT,Nano SIM,sim cARD,5
SIMCard,Nano SIM-ca0,at&t,5
sim  nANO sim,,Verizon,5
ver,SIM Card,Nano SIM,5
SIM Car2,Nano SIM-7bc,5G-z82,5
SIM Card,NanoSIM,AT&a,5
SIMCard,nANO sim,hT&T,5
SIM Card,Nano S&M,at&t,5
sim ,Nano SIM,AT&T,5
SIMCard Nano SIM,,zya_AT&T,5
sim ,Nano SIM-185,5g,5
sim cARD,nano ,,5
,Nano SIM,at&t SIM Card,5
SIM Card nANO sim,,53,5
SIm Card,T&T,NanoSIM,5
SIMCard,nano,bzy_5G,5
SIM Card,Nano SIM-1y0,5G,5
SIMCard,NanoSIM,5g,5
SIM3Card,nANO sim,5G,5
SIMCard,NanoSIM,ve,5
sim ,nANO sim,Veriznn,5
sim,NanoSIM,vERIZON,5
SIM Card,Nano S6M,vERIZON,5
SIMCard,7x9_Nano SIM,1a7_Verizon,5
at&t,SIM Card,nano ,5
SIM Card,Nano SIM,0,5
sim cARD,Nano SIM,2b3_AT&T,5
SIMCard,Nano SIr,5g,5
SIM Card,aba_Nano SIM,Verizon,5
SIMCard,nano ,Verizon,5
SIM Catd,Nano SIM,5n,5
S#M Card,nANO sim,veri,5
SIM Card,AT&T,Nano SIm,5
sim cARD,NanoSIM,,5
y0c_Nano SIM,5G,SIM Card,5
SIM Card,Nano SIMM,rrepaid,5
SIMCard,NanoSIM,!G,5
SIM Cardd,nANO sim,ATT&T,5
,Nano SIM,55G SIM Card-b88,5
SIM Card,Nano SIM-061,vERIZON,5
SIMCard,Nano SIM,vERIZON,5
SIMCard,nano,T&T,5
0ax_SIM Card,nANO sim,5g,5
SIM Card-651,NanoSIM,veriz,5
SIM Card,5GG,Nano SIM-65y,5
SIM C&rd,068_Nano SIM,5G,5
SxM Card,Verizon,Nano SIMM,5
si,4b7_Nano SIM,5G,5
SIMCard,Nano SIMM,5G,5
SIMCard,NanoSIM,5g,5
sim cARD,Nano SIM,Verizon,5
SIMCard,b5c_Nano SIM,5G,5
SIM Card,NanoySIM,at&t,5
SIM3Card,NanoSIM,Verixon,5
SIM Car!,Nanoo SIM,5G,5
Nano 9IM,AT&x,SIM Card,5
sim ,NanoSIM,y4y_5G,5
SIM Card,5GG,nANO sim,5
SIMCard,Nanoo SIM,5g,5
SIMCard,9az_Nano SIM,5G,5
SIM Card,Nano SIM,at&t,5
SIM CCard,nANO sim 5G,,5
SIMCard,NanoSIM,at&t,5
1c7_SIM Card,nano ,5G,5
Veriaon,SIMsCard,Nano SIM-41x,5
5g,b5x_Nano SIM,SIMoCard,5
5G,Nano SIMM,SIM Card,5
SIM Card,NanoSIM,  ,5
SIMCard,nANO sim,AT&T,5
SIM Card,Nano SIM,---,5
veriz,Nano9SIM,SIMCard,5
Nano $IM,5G,SIM Card-7b4,5
SIMCard,Nano  SIM,5G,5
Verigon,Nano 6IM,SIM Card,5
SfM Card,nANO sim,at&,5
sim ,Nanoo SIM,5G,5
SIM Card,nANO sim,5g,5
SIMCard,nano ,5G,5
nANO sim,SIMCard,Verizon,5
SIM Card,nANO sim,5G-cc3,5
SIM Card,Nano SIM-y88,,5
Nanoo SIM,5g,SIM Card-027,5
sim cARD,NanoSIM,5GG,5
Verizon-b9a,SIM Card,nANO sim,5
sim cARD,nANO sim,???,5
vIM Card,Nano SIM-21y,at&,5
SIMM Card,NanoSIM,T&T,5
sim cARD,Nano S^M,Verizon-c66,5
SIM Card,Nano SIM,at&t,5
SIMCard,Nano SIM,AT&T,5
at&t,Nano SIM-6cx,SIM Card-076,5
SIM Card-x09,nANO sim,at&t,5
at,9x3_Nano SIM,SIM Card,5
SIMCard,nANO sim,Verizon,5
sim cARD,Nano iIM,hG,5
SIMCard,435_Nano SIM,ve,5
Verizon-94x,Nano SkM,sim cARD,5
,nano,SIM Carrd AT&T,5
SIM Cardd,Nano SIMM,Veri*on,5
z0a_SIM Card,NanoSIM,,5
SIMCard,Micro SIM-z01,AT&T,5
SIM  Card,nano ,Verizon,5
sim cARD,Nano  SIM,5G,5
sim ,nANO sim,Verizon,5
SIMCard,nANO sim,vERIZON,5
SIM Card,AT&T,NanoSIM,5
sim cARD,nano ,at&t,5
6y7_SIM Card,87y_Nano SIM,  ,5
3bz_SIM Card,Nano SIM,Verizon,5
SIM Card-66z,nANO sim,veri,5
SIM Card-2x5,nANO sim,---,5
SIM Carb,Nano SIM-536,5G-569,5
ATT&T,Nano SIM,yIM Card,5
SIMCard,1xz_Nano SIM,4a1_Verizon,5
sim cARD,Nano SIM,at&t,5
SIM Card,nANO sim,5G,5
SIM Card,Nano  SIM,5g,5
SIM Cardd,Nano SIM-932,5g,5
sim cARD,NanoSIM,AT&T-0c9,5
sim cARD,nANO sim,z8x_AT&T,5
AT&3,SIM Card-z43,Nano SiM,5
SIMCard,nANO sim,989_5G,5
SIMCard,NanoSIM,5G,5
SIM Card,NanoSIM,ATT&T,5
,Nano SIM-845,91b_5G SIMCard,5
745_SIM Card,Nano nIM,Verizon,5
sim ,nANO sim,at&t,5
SIM Card,Nano SI5,veriz,5
SIM Card,109_Nano SIM,ATT&T,5
SIM 2ard,Nano SIM,AT&&T,5
,NanoSIM,5g SIM CCard,5
SIM Card,Nanoo SIM,vERIZON,5
SIMCard,Nano SIM-954,yerizon,5
nANO sim,,SIMCard,5
sim cARD,Nano xIM,$G,5
SIMCard,Nano SIM-z43,5G,5
5g,Nano SIM-030,S2M Card,5
nANO sim,Verizon,sim cARD,5
SIM Card-b46,nANO sim vERIZON,,5
SIM Card,Nano SIM-61y,Aw&T,5
SIM Card,NanoSIM,Verizzon,5
SIMCard,Nano SIM,Verizon,5
SIMCard,nano,AT&T-3c7,5
SIM Card,5GG,Nano SIM,5
SIM Card,Nano SbM,AT&T,5
sim cARD,nano ,Verizon,5
SIM Card,nANO sim,5GG,5
sim cARD,Nano SI@,Ve6izon,5
Nano SIM,SIM9Card,T&T,5
sim cARD,Nano SIM-01a,At&T,5
3xx_SIM Card,Nano SIM-219,Verizon,5
SIMCard,Nano SIM,Verizon-b18,5
,sim cARD 5v,nano ,5
Nano SIM,at&t,SIM Card,5
5g,SIMCard,NanoSIM,5
Nano SIx at&t,,SIM Card,5
,SIMCard,Nano SIM-3ba,5
SIM Card,nANO sim,03a_AT&T,5
SIM Card-cc9,NanoSIM,rG,5
sim ,nano,AT&T,5
SIMCard,AT4T,nANO sim,5
sim cARD,nANO sim,,5
sim cARD,Nano SIM-2z6,at&t,5
SIM Card cG,NanoSIM,,5
,nANO sim,5g,5
SIM Card,NanoSIM,,5
SIM Card-710,5g,Nano SIM,5
sim ,NanoSIM,5G,5
SIM Card,nANO sim,AT4T,5
3IM Card Nano SIM,,5G,5
at&t,SIMCard,Nano SIM,5
sim cARD,Nano SIM 5G,,5
,NanoSIM SIM Card,5G,5
SIMCard,Nano S7M,Veriizon,5
SIM Card,x75_Nano SIM,at&t,5
SIM Cardd,Nano SIM,vT&T,5
NanoSIM,SIMCard,at&t,5
SIM Card 5g,Nano SIMM,,5
SIMM Card,Nano SIM,AT&T,5
SIMCard,NanoSIM,xx0_5G,5
,SIM Card vERIZON,nANO sim,5
SIM Card-44y,Nano SIM,AT&T,5
sim cARD,nANO sim,at&t,5
sim cARD,55G,nANO sim,5
sim,Nano SIM-4x2,5G,5
nANO sim,at&t,sim cARD,5
SIM Caard,nANO sim,5GG,5
sim cARD,Vervzon,nANO sim,5
sim cARD,NanofSIM,5w,5
SIM Card,Verizoi,nANO sim,5
sim c,nANO sim,5g,5
SIM Card-85y,Nano SIM,vERIZON,5
SIMCard,NanoSIM,5G,5
tIM Card,Nano SIM-y22,Verizon,5
SIM Card,43a_Nano SIM,5g,5
0b2_AT&T,nANO sim,SIM Card-18x,5
sim,Nano SIM-xa0,5G,5
nANO sim,y66_SIM Card,vERIZON,5
SIMCard,Nano SIM,vERIZON,5
Nano SIM,5j,sim,5
SIMCard,Nano SIM,ver,5
sim cARD,NanoSIM,Verizon-225,5
Nano xIM,SIM Card,,5
SIM Card,Nano 4IM,Pxepaid,5
sim cARD,Nano SIM,5GG,5
sim c,nANO sim,5G,5
x37_SIM Card,Nano SIM,8b0_Verizon,5
SIM  Card,Nano SIM,0,5
sim ,nano ,5G,5
Veerizon,SIMCard,Nano S6M,5
484_SIM Card,Nano SIM,AT&T-6x0,5
SIMCard,Nano SIM-79b,VVerizon,5
sim cARD,Nano SIM-ax1,,5
sim cARD,NanoySIM,AT&T,5
sim,nANO sim,AT&T,5
nano ,at,SIMCard,5
5G,NanoSIM,SIMCard,5
SIM Card,Nano S%M,AT&T,5
SIM Card,Nano SIM,5G,5
3x2_SIM Card,nano ,5s,5
SIM Card-z74,nANO sim,vERIZON,5
sim cARD,Nano SIM,---,5
SIMCard,nANO sim,at&t,5
0,z54_Nano SIM,SIM Card-073,5
S@M Card,nANO sim,0,5
SIM Card,5G,b37_Nano SIM,5
SIMCard,Nano SIM-314,Verizon,5
sim cARD,Verizon,Nano SIM,5
SIM Card-z1z zaz_Nano SIM,,,5
sim cARD,Nanoo SIM,,5
,5g,SIM Card 63x_Nano SIM,5
SIMCard,NanoSIM,Verizon,5
SIM Card-4a1,nANO sim,,5
sim cARD,Nano SIM-02y,Verizon,5
