Type of hardware,Model,Submodel
cis,4331/k9,Router
b6c_Webcam,Elgatoo Facecam,108
mOBILE pHONE,Pixel8,pRO mAX
z00_Laptop,Lenovo ThinkPad X1-ca3,m3 
he,Sennheiserr HD 600,oVER-eAR
Hdphns,,Wrlss
SM Crd,!erizon,Nano SIM
,lOGITECH mx mASTER 3 mouse,Opticall
MMonitor,ASUS ROG Swift,Ultrawide
Laptsp,Lenoovo ThinkPad X1,4y1_32GB RAM
Rtr,Netgear Nighthawk,v2
keyb,---,Linear
RazerDeathAdder,optic,Mousf
Webcae,El5ato Facecam,0z6_1080p60
  ,,blue
Mouse,SteelSeries Rival 3,Opttical
Router,nETGEAR nIGHTHAWK,4331/K9
Laptop,facBook Pro 16,oled tOUCH
Sennheiser HD 600-8b5,Noise Cancelling-b6x,hEADPHONES
hea,aIRpODS mAX,Studip
Rtr,Csc SR,4331/K9
9zb_SIM Card,Nn SM,T&T
6y9_Router,#REF!,4331/K9
Mouse,appl,634_Optical
mONITOR,LG UltraGear,OOLED
cABLE,6xb_HDMI 2.1,2m
v2,c2b_TP-Link Archer,Rtr
Brraided,disp,Cable
42c_TP-Link Archer,rOUTER 433!/K9,
,4K 3ab_Samsung Odyssey G9,Monitor
4b7_OLED,unknown,Monltor
We1cam,Razer Kiyo,HD Prro
Ms,ppl Mgc Ms,eRGONOMIC
mOBILE pHONE,OnePlus 12,pro 
Cable,Ethernett Cat6,Blue-3ab
,uano SIM,391_Verizon SIM Card
Mouse-1x3,Logitechh MX Master 3,Optical-393
cABLE,thrnt Ct6,Bluue
sim cARD,es,Verizon
iPhone15,zaa_128GB,Mobqle Phone
Moouse,Logitehh MX Master 3,ptcl
Monitor,SamsungOdysseyG9,4K
Headphhones,Sny WH-1000XM5,vr-r
USB-C to Lightning,Braided,Cable
moni,Samsung Odyssey G9,ultra
Laptop,macbo,M3Max
mOBILE pHONE 2x3_iPhone 15,,uLTRA
Heddphones,Sony WH-1000XM5-bxc,602_Over-Ear
kEYBOARD,Rzr BlckWdw,lINEAR
Headphones,Bose QmietComfort 45,Studio
V2,Netgear Nighthawk,ro
Optical-7y8,Apple Magic Mouse-184,mo
Mobile Phone,OnjPlus 12,unlo
mous,a8b_Logitech MX Master 3,Wireeless
Keyboard,Lgtch MX Kys,rinear
Logitech n920,Webcam-50y,4k
Laptopp,mACbOOK pRO 16,ol
Braided,DisplayPort 1.4,Cabble
,Citco ISR,44331/K9
SIM Czrd,Mcr SM,Prepaid
Cable,Ethernet 8at6,50ft-aay
Hehdphones,Sony WH-10000XM5,wIRELESS
Moute,raz,Wrlss
1080p60,Razvr Kiyo,Webcam
sim cARD,Micro2SIM,
Mouse-a4b,LogitechMXMaster3,
Mobile Phone,OnePlus 12,Ultr8
Monit^r,lg,LD
cABLE,HDMI2.1,2mm
TTactile,Kybrd,LogitechMXKeys
Webcam,z4c_Razer Kiyo,6K
144Hz,Dll ltrShrp,moni
3x5_Mobile Phone,iPhone15,Pro Max
Monitor-7a2,Ultrawide,lg
Webcam,,1080p60 logi
Wrbcam,Razer  Kiyo,HDPro
,aPPLE mAGIC mOUSE,Wrd
Webcam,,8z3_Studio
Cbl,eth,
Keyboard,rAZER bLACKwIDOW,Lnr
mo,aPPLE mAGIC mOUSE,
SIMcCard,nANO sim,pREPAID
wIRELESS Headphones,SennheiserHD600,
si,Esim,5G
,DellUltraSharp,144iz
key,ke,Wireless-1a6
fIM Card,9zz_eSIM,pre
Heodphones,B$se QuietComfort 45,oVER-eAR
Mobile Psone,Pixel 8-2y0,128GB
SIM Card-35b,x22_eSIM,5g
lap,RazerBlade15,Mi Max
Cable,x9a_Ethernet Cat6,---
Monitor,ASUS ROG Swift,4k
267_Mouse,Razer DeathAdder,Optica1
cabl,HDMI2.1,22m
Cable,disp,130_Blue
Monitor asus ,,OLED-5z9
Wireless,RazerDeathAdder,
Router,cis,ax5
dLED,Monitoor,7y4_LG UltraGear
mOBILE pHONE,OnePlus 12,Pro Max-49y
Cable,usb-c,2m
Appye Magic Mouse,op,mOUSE
rou,TP-Link Archer-48a,AX555
Laptop,---,
ueyboard,Keychron Qz,tact
Moni2or,b9a_ASUS ROG Swift,ultra
wEBCAM,549_Razer Kiyo,108
Cable,hdmi,Blue
SteelSeries Rival 3-491,b53_Mouse,Ergonomic-4yc
Headphones,Sennheiser HD 600,Wireless
AirPoods Max,Headphones,---
Router-8yz,TP-LinkArcher,
leno,m3,unknown
???,DispllayPort 1.4,0raided
rou,TP-Link 6rcher,X55
cABLE,usb-c TO lIGHTNING,Bluue
,Razer Kiyo webc,4K
Monitor,  ,44K
cab,0,2m
cORE I9,LenovoThinkPadX1,Lptp
cABLE,Ethernet Cat6,50ft
552_Monitor,xx8_ASUS ROG Swift,ult
mOBILE pHONE ProMax,4c9_OnePlus 12,
he,B1se QuietComfort 45,Wireless
yaptop,4xx_Lenovo ThinkPad X1,Clre i9
@ouse,StlSrs Rvl 3,Ergonomi5
Laptop,Dpll XPS 15,core
9y4_Headphones,Sennhqiser HD 600 Wireless,
sam,ltrwd,Monitor
lAPTOP,Rzr Bld 15,Corei9
Mbl Phn,iPhone 15-141,Ultra
Keybooard,RazerBlackWidow,RGB
aaptop,Lenovo ThinkPad X1,32gb ram
LG UltraGear-y66,mONITOR,1444Hz
  ,sONY wh-1000xm5,Ns Cncllng
Cbl,hdmi 2.1,50FT
Monitor-z67,Dell UltraShzrp,OLED
Lap8op,oled tOUCH,le
Webcam-0b0,mic,1080p60
Laptop,,OLED Touch
lAPTOP,raz,M3 iax
Verizon-366 SIM Carrd,,Esim
Lptp,Razer blade 15,M3 Max-062
,KeychronQ1,Linear
Webcak,raze,4K
4onitor,LG UltraGear,unknown
Caable,HDMI 2.1,  
Ro2ter,nETGEAR nIGHTHAWK,88y_v2
Ms,SteelSeries Rival 3,Ergonomic
Laptoi,DellXPS15,ole
Headphones,Sny WH-1000XM5,Wireles6
SennheiserHD600,,wIRELESS
Router,TP-Link #rcher,4331/K9-811
c15_Webcam,,
Keyboard,328_Logitech MX Keys,Tactile
H4adphones Over-EEar,AirPods *ax,
Keyboardd,KeychronQ1,2z7_RGB
,tp-l ro,Rm000
,111_Corsair K70,Wireless
Razer BlackWidow,KKeyboard,Tactile
asus rog sWIFT,4K,Moniitor
Mouse,Wirel7ss,Logitech MX Maste8 3
  ,HDMI&2.1,
Lapeop,Razer Blade o5,32GB RA7
Headphones,Studiio,son
SIMCard,Microo SIM,qG
Wexcam,ElgatoFacecam,4K
Rtr,Cisco ISR,R70000
  ,Keychron Q1,RGBB
kEYBOARD,Corssair K70,Tactiile
Webc1m,2b0_4K,RazeruKiyo
Webcam,175_Microsoft LifeCam,10
,1zz_32GB RAM,lENOVO tHINKpAD x1
Mobile P5one,Pxl 8,Pr Mx
Keyboard,lOGITECH mx kEYS,Wireless
Router,,ax55
Muuse,ppl Mgc Ms,oPTICAL
Laptop-81y,mACbOOK pRO 16,32GB RM
Mob0le Phone,OnePlus12,Ulltra
Nano S6M,5G,SIMCard
Headphones,Sennheiser HD 600,noise
906_Mobile Phone,iPhoneu15,Unlocked
Webcam-cac,mICROSOFT lIFEcAM,Std
  ,Logitech C920,HDPro
iPh9ne 15,1yb_Mobile Phone,ultra
,Micro SIM,AT&T
sim ,vERIZON,
SIM Card,3z7_eSIM,AAT&T
Cable,18a_Ethernet Cat6,Blue
ASUSROGSwift,578_4K,Monitor
  ,SteelSeries Rivval 3,Wireless
Mobile Phone,iPhone 15,Pro Maxx
Mobgle Phone,iPhone 15,307_Pro Max
lAPTOP,MacBook Pro 16-9y7,
1080p60,Webccam,RazerKiyo
He1dphones,sennh,NNoise Cancelling
hEADPHONES,over-,Sony WH-1000XM5
???,SM,5g
Mouse,Logftech MX Master 3,  
Cable,EthernetCat6,
Cable,usb-c TO lIGHTNING,bra
SlM Card,#REF!,5G
headp,Sony WH-1070XM5,Std
sTUDIO,Webcam,Mic@osoft LifeCam
Mmuse Razer DeathAdderr,,Ergonomic
Cable,,blu
Keyboard,Logitech MX Keys,Wireless
mOBILE pHONE,onep,Ultra
We!cam Studio-36x,Logitech C920-27x,
mo,ASUSROGSwift,144hZ
mo,aPPLE mAGIC mOUSE,Wireeless
len,Core i9,Laptop
Cable,USB-CtoLightning,b5z_2m
,,4KK
Mouse-y9z,Logitech MX Master 3-b36,Ergonomic
MobilePhone,pIXEL 8,Unllocked
,Bose QuietComfort 45 Headpvones,NoiseCancelling
,Rzr BlckWdw kEYBOARD,Wireless
Monltor,as,ol
mOBILE pHONE,Pxl 8,909_Pro Max
kEYBOARD,Crsr K70,Linear
rou,TP-Lnk rchr,4g31/K9
Dell UltraSharp-88a,Mntr,o44Hz
Razer DeathAdder,Mouse,Wireless
Headphone#,Sony WH^1000XM5,oVER-eAR
Headphonnes,AirPods Max,836_Wireless
Kybrd,Logi@ech MX Keys,RGj
Dekl XPS 15,La*top,m3 mAX
kEYBOARD,nogitech MX Keys,
cabl,USB-C to Lightning,50ft
Webcam,Logitech C9x0,Stunio
6obile Phone,0,bc6_Pixel 8
Keyboa1d,Logitech MX Keys-5y8,tACTILE
,OLED T!uch,RazerBlade15 lap
at&t,Micro SIM,SIM Card
Webcam,micr,10800p60
Monitor,del,uLTRAWIDE
Rtr,Netgear Nighthawk-74x,R7000-8b6
Cisco %SR,Router-xa3,ax55
#REF!,1z0_MacBook Pro 16,m3 m
mouse,Razer DeayhAdder,Ergonomic-316
SIMCard,eSIM,5G
Router,ci,AX55-3c8
rOUTER,Ntgr Nghthwk,AAX55
SIM Card,SM,Verizonn
route,ne,$7000
,,50ft
rou,Cisco ISR-817,4a31/K9
Laptop-c6z,Dell %PS 15,M3Max
Cable,USB-CtoLightning,50*t
Cable-z76,USB--C to Lightning,Blue
Cable-79c,DsplyPrt 1.4,Braided
Mobile Phoone,iPhoone 15,Pro Max
aeadphones,aIRpODS mAX,Noise Cancelling
SIM Card-b81,49c_Micro SIM,Vrzn
Monitor,Samsung Odyssey G9,4K
Mntr,Dll ltrShrp,OLE9
Laptop,Lenovo ThinkPad X1-50y,M3Max
pro ,Samsung Galaxy S224,Mob7le Phone
key,Razer BlackWidoww,Lvnear
MobilePhone,iPhone 15,Pro Mam
T!-Link Archer,R7000,Rtr
mOBILE pHONE,5b0_OnePlus 12,Unloc^ed
mouse,18x_Razer DeathAdder,#REF!
,USB-C to Lig4tning Cxble,Blue-5y2
1080p60,,wEBCAM el
Mous@,rAZER dEATHaDDER,bc7_Wireless
hEADPHONES,Bose QuietComfort 45,Wir^less
,AirPodsMax Headphones,Stud&o
head,---,Std
Webcam,mICROSOFT lIFEcAM,1080P60
Moonitor,dELL uLTRAsHARP,29b_Ultrawide
Headphones Wireless,0a0_Sony WH-1000XM5,
mOUSE,aPPLE mAGIC mOUSE,Ergonomic
Lptp,lenov,
8y3_Headphones,Sennheiser HD 600-144,Studio
Webc3m,logit,HD Pro
Cable,US0-C to Lightning,5lft
Lptp,Corre i9,Razer Blade 15
Monwtor,ASUS ROG SSwift,LD
951_Studio,1a2_Webcam,rAZER kIYO
head,Sony WH-1000XM5,W3reless
Ca$le,DisplayPori 1.4,Braided-b7b
yobile Phone,iPh7ne 15,Pro Max
Rmuter,TP-Lnk rchr,v2
Wbcm,MMicrosoft LifeCam,4K
lapto,6b0_MacBook Pro 16,32gb
Headphones-ya9,Bs QtCmfrt 45,wIRELESS
Ultrawide,Monitor,LG UltraGeear
mous,W!red,aPPLE mAGIC mOUSE
,Lgtch MX Mstr 3,Wire5 mou
mONITOR,LG ltrGr,4K
Keyboard,1a8_Corsair K70,rgb
Lptp,Lenovo ThinnkPad X1,32GBB RAM
9xa_SIM Card,,
thrnt Ct6,cABLE,Bl
???,apple,Mouse
Keyb9ard,lOGITECH mx kEYS,4GB
Router-82c,4331/K9,TP-Lnk rchr
Headphones,Sony WHo1000XM5,Over-Ear-48a
Keyboard,Keychron Q1,Tacttile
Laptop,rAZER bLADE 15,ole
SIM Card,nANO sim,Prepaid
a0y_Webcam,,4K Razer Ki4o
144hZ,asus ,
SIMCard,esi,at&t
Webccam,lo,44K
rou,tp-lINK aRCHER,AX55-zyx
Ca9le,eTHERNET cAT6,2m
c22_HD Pro,Logitech C920,we
debcam,,4K
SM Crd,nANO sim,5g
ax55,Rtr,Cisco IjR
1080P60,webca,Lgtch C920
key,,RG1 Razer BlackWidow
SM Crd,NanoSIM,5G-5c2
---,Rzr Dthddr,Opticaal
K$yboard,kEYCHRON q1,
,RRazer Kiyo,H6 Pro
Router-zz1,nETGEAR nIGHTHAWK,R70000
Mouse,Apple Magic2Mouse,oPTICAL
Monitor-3a8,asus rog sWIFT,OLED
unknown,MacBook Pro 16-6ca,32GB RAM
studi,Sennheeiser HD 600,Headp6ones
monit,LG UltraGear,4K
mOUSE,059_Logitech MX Master 3,W7red
Mntr,Samsung Odyssey G9,Ultraw7de
,cISCO isr,R7000
xy3_SIM Card,  ,Veriizon
746_Keyboard,C%rsair K70,RGB
8zx_Monitor,wamsung Odyssey G9,OOLED
mOBILE pHONE,iPhone 15-a50,unl
lg ul,044Hz,Monitor
,USB-CtoLightning,50rt Cabce
esim,???,SIM Card
rOUTER,TP-LinkArcher,R7000
4b,,webca
,Logitech MX Mastjr 3,wIRED
SteelSeries Rival 3,W$reless,mOUSE
#REF!,7acBook Pro 16,32gb ram
tp-lINK aRCHER,v2,Rtr
Keyboard,Logitech MXzKeys,linea
mo,sTEELsERIES rIVAL 3,Wrlss
Headphones,sONY wh-1000xm5,Wireless
sim cARD,na,
hEADPHONES,rPds Mx,nOISE cANCELLING
si,6z7_Micro SIM,Verizon
Mobilee Phone,sam,128GB
sONY wh-1000xm5,Headphones,Wirelhss
255_Mouse,aPPLE mAGIC mOUSE,Wireleess
---,Steelneries Rival 3,Optical Moouse
sim c,NanoSIM,5a
Mobile Phone-x6a,iPhone15 23x_128GB,
Mcr SM,SIM C0rd,tG
,pRO mAX,pixe
Mouse,,Ergonomicc
5ca_Mouse,Rater DeathAdder,Ergon3mic
McBk Pr 16,Laptop,M3 Max
si,,49c_Prepaid 943_Nano SIM
Laptop,LenovoThinkPadX1,527_Core i9
wEBCAM,Razer 3iyo,HD Prd
RazerBlade15,Lapto1,oled 
,U*B-C to Lightning,2m
ke,cORSAIR k70,RGB
ro,Ciscoo ISR,4331//K9
ReB,Crsr K70,qeyboard
Mntr,Dell UltraSharp-z3y,ult
,Logitech MX Master 3 Mouse,optic
Mobile Phone-zx6,Samsung Galaxy S24,Ultr3
head,Bose QuietComfort 45-1zy,Wireless
Mouse,005_Logitech MX Master 3,Wired
Router-45x,ci,V2
webca,Microsoft LifeCam,1080p60
Keyboard-c2x,LogitechMXKeys,6bx_Wireless
Keyboardd,Wireless,kEYCHRON q1
lapt,Lenovo ThinkPad X1,Coree i9
641_Wireless,Corsaiir K70,Keybogrd
Laptop,Lenovoo ThinkPad X1,Mx Max
rou AX55,Netgea0 Nighthawk,
Cbl,#REF!,Brai0ed
Laptop,32GB RA^,cx3_Razer Blade 15
Lqgitech MX Master 3,wire,mOUSE
cabl,,br
976_Keyboard,Logitech tX Keys,RGB-7xz
kable,eTHERNET cAT6,sm
#REF!,USB-C to Lightni!g,bLUE
webca,Rzr Ky,HD Pro
984_Laptop,Raze* Blade 15,m3 mAX
Webbcam,Microsoft LifeCam,Stusio
Headphotes,Bose QuietComfort 45-012,Wireless
mOUSE,AppleMagicMouse,Wireless
Roouter,petgear Nighthawk,4331/K9
MMobile Phone,5b2_OnePlus 12,nlckd
Keyboard,kEYCHRON q1,ab3_Wireless
,NanoSIM,#REF!
,Elgatto Facecam,4K
Laptop,,m3 m
Keeyboard,unknown,wIRELESS
nano ,SM Crd,Prpd
Monitor,SamsungOdysseyG9,???
Cbl,thrnt Ct6,5$ft
Laptop,M3 Max,Rzr Bld 15
lapt,Dell XPS 15,OLED vouch
,Lenoro ThinkPad X1,M3 Max
Lapt%p,z9z_Lenovo ThinkPad X1,Core i9-9ba
1ouse,sTEELsERIES rIVAL 3,eRGONOMIC
zouter,TP-LinkArcher,r7000
Cabl4,  ,2M
wIRELESS,Razer Death^dder,mous
Dll ltrShrp,mONITOR,4KK
