Type of hardware,Model,Submodel
לפטופ-427,,M3Max
כבלל,50ft,HDMI2.1
מחשב ניידד,רייזר bLADE 15,Cr 9
מצלמת רשת,רייזר Kiyyo,4KK
נייד,Snnhsr HD 600,עלחותיי
Keeyboard,רייייזרBlackWidow,3ireless
מצלמת אינטרנט,,4K רייזר
סימ-cx6,Miccro SIM,at&
מוניטור,דל ,---
טלפון נייד,סמסונג GGalaxy S24,Pro Max
סלולרי,128gb,Pixel 8
,AX55,rout netge
כבל,eTHERNET cAT6,Blue
SsM Card,NanoSIM,Verizzon
מחשב ניידד,0,449_32GB RAM
טלפון נייד,סמסונג gALAXY s24,bro Max
מקלדת אלחוטית,@eychron Q1,136_Linear
Mositor,אל ג'י,אולטרה-וויד
מסך מחשב,  ,4k
OLED Touch-19b,דלXPS15,Laphop
טלפון נייד,iphon,1^8GB
מסך מחשב,SS RG Swft,עולתרה-ווייד
מסך מחשב,דל uLTRAsHARP,אולטרה-וויד
מאוס,ppl Mgc Ms,wIRELESS
מסך-251,Mon5tor,ltrwd
מסך,,Mo!itor סמסונג Odysssy G9
ראוטרר,R4000,סיסקו isr
אוזניות בלוטוס,סוני WH-1000XM5,סינון רעשים
מצלמת רשת,Miicrosoft LifeCam,1080p
מצלמת רשת234_Webcam,לוג'ייתק C920,4k
mob,yaa_סמסונג Galaxy S24 Un2ocked,
Cbl,et,2m-390
סלולרי,iPhone 15,Pr Mx
מסך מחשב,Samssung Odyssey G9,144Hz
עכבר אלחוטי,אפל mAGIC mOUSE,Ergonnomic
כרטיס SIM4yx_SIM Card,eSIM,
אזניות,senn,אלחוטי
Ro%ter,37x_4331/K9,TP-LinkArcher
מכלדת,רייזרBlackWidow,
נייד,leno,M3 Maxx
כרטיס סים,nANO sim,Prep^id
אזניות,,Over-Ear
אוזניות,Sxudio,87z_סוני WH-1000XM5
סלולרי,???,Pr Mx
???,סמסונג Galaxy S24,Unlock@d
rou,r7000,TP-Lnk rchr
5g,???,SM Crd
כבל USB,---,bRAIDED
נתב,סייסקו isr,R7u00
C5ble,USB-CtoLightning,Braided
מקלדת גיימינג,RRGB,5a9_רייזר BlackWidow
כבל,jisplayPort 1.4,50ft
כרטיס סים,,ver
10c_SteelSeries Rival 3,Ms,wIRELESS
מצלמה,mic,4K
סים,Nano SIM-ca0,at&t
סים,,AT&TT 797_Micro SIM
,mICROSOFT lIFEcAM Wbcm,10m0p60
מצלמת אינטרנט,unknown,xK
unknown,eאל ג'יATO fACECAM,Studiio
,ipho,Ultra
מסך גיימינג,דל UltraShaarp,144Hz
mICROSOFT lIFEcAM,Stuuio,Webcam
ראוטר,TP-Link Archer,X55
,דל xps 15,&2GB RAM
כרטיס SIM,esim,5g
סלולרי,סוני WH-1000XM5-z62,oVER-eAR
מסך מחשב,De7l UltraSharp,559_4K
OcED,Mntr,דל UltraSharp
50ft,Cabl4,HDM 2.1
Mbl Phn,Pixel 8,Ultra
סימ,Micro SI%,7y5_AT&T
סלולרי,87b_iPhone 15,Ultra
sTEELsERIES rIVAL 3,wIRELESS,
מחשב נייד,דל ,cz0_OLED Touch
מחשב נייד,רייזרBlade15,23 Max
128GB,mOBILE pHONE,OnePlus 12-z0a
Kybrd,Corsair^K70,אלחוטיs
כבלל,SB-C t על ג'ייhtnng,Blue
אלחוטי-60c,Sennheiser HD 600-z28,Headphones
Ms,Lלוג'יטק MX Master 3,Wireed
,,HD Pr Wbcm
נתב2,Netgear Nighthawk,0
Sennheiser HD 600,Headphones,St0dio
,b44_4K,we רייייזר Kiyo
mob,Pro wax,סמסונג Galaxw S24
אוזניות,AicPods Max,Studio
zK,y76_Webcam,Microsoft Li^eCam
מסך11a_Monitor,Ultrawid@,אזוס rog sWIFT
כבלל,Ethernet Cut6,2m
sams,Monitor,Ultrawidde
מחשב נייד,MacBook Pro  16,m3 mAX
Over-Ear,Sny WH-1000XM5,Hdphns
סמסונג Odyssey G9,mONITOR,ltrwd
R70000,סייסקו ISR,rOUTER
טלפון נייד,iphon,Pro 5ax
TP-Link Archer,AAX55,05y_Router
???,,uNLOCKED
TP-LinkArcher,0zb_AX55,Router
Brdd,635_Cable,DisplayPort 1.4
ראוטרר,0,
נתב,סיסקוISR,4331/K9
Loggitech C920,Studioo,Wwbcam
Rofter,TP-Link Arch*r,v2
אוזניות בלוטוס,Sennheisser HD 600,
סימ,e8IM,VVerizon
מחשב נייד,lENOVO tHINKpAD x1,a40_32GB RAM
אוזניות,Snnhsr HD 600,Over--Ear
עכבר אלחוטי,Opttical,
כבל,HDMI r.1,???
aIRpODS mAX,אלחוטי,hEADPHONES
מסך מחשב,אל ג'י ltrGr,uLTRAWIDE
mob,Pro Maf,944_OnePlus 12
מקלדת גיימינג,Corsaic K70,RGB
מאוס,SteelSeriies Rival 3,z41_Wired
thrnt Ct6,Blue,Cable
HD PPro,רייזרKiyo,
אוזניות קשת,Sennheiser HD 600-yyb,Std
rou,TP-LinkArcher,240_AX55
אוזניות בלוטוס-9zy,,AirPods Max-8c6
אוזניות קשת,senn,noi
,DisilayPort 1.4 Cable,2M
סיסקוISR,Routee,
מוניטור,9y1_144Hz,אל ג'י uLTRAgEAR
אוזניות קשת,sENNHEISER hd 600,Ns Cncllng
MacBookPro16,M3 Maax,5c0_Laptop
SM Crd,mICRO sim,AAT&T
לפטופפ,רייזר Blade 15,Core i9-9ax
