Type of hardware,Model,Submodel
מחשב-427,,M3Max
כבל,50ft,HDMI2.1
מחשב נייד,רייזר bLADE 15,Cr 9
מצלמת אינטרנט,רייזר Kiyyo,4KK
מוביל,Snnhsr HD 600,אלחוטי
Keeyboard,רייייזרBlackWidow,3ireless
מצלמת רשת,,4K רייזר
כרטיס סים,Miccro SIM,at&
מסך,דל ,---
טלפון נייד,סמסונג GGalaxy S24,Pro Max
טלפון נייד,128gb,Pixel 8
,AX55,rout netge
כבל USB,eTHERNET cAT6,Blue
SsM Card,NanoSIM,Verizzon
מחשב נייד,0,449_32GB RAM
מוביל,סמסונג gALAXY s24,bro Max
מקלדת,@eychron Q1,136_Linear
Mositor,אל ג'י,Ultrawide
מסך,  ,4k
OLED Touch-19b,דלXPS15,Laphop
טלפון נייד,iphon,1^8GB
מסך,SS RG Swft,Ultrawide
מוניטור,דל uLTRAsHARP,Ultrawide
עכבר,ppl Mgc Ms,wIRELESS
מסך,Mon5tor,ltrwd
מסך גיימינג,,Mo!itor סמסונג Odysssy G9
ראוטר,R4000,סיסקו isr
אוזניות,סוני WH-1000XM5,סינון רעשים
וובקם,Miicrosoft LifeCam,1080p
מצלמת אינטרנט,לוג'יטק C920,4k
mob,yaa_סמסונג Galaxy S24 Un2ocked,
Cbl,et,2m-390
מוביל,iPhone 15,Pr Mx
מוניטור,Samssung Odyssey G9,144Hz
עכברר,אפל mAGIC mOUSE,Ergonnomic
סימ4yx_SIM Card,eSIM,
אוזניות קשת,senn,עלחותיי
Ro%ter,37x_4331/K9,TP-LinkArcher
מקלדת אלחוטית,רייייזרBlackWidow,
מחשב נייד,leno,M3 Maxx
כרטיס SIM,nANO sim,Prep^id
אוזניות,,Over-Ear
אוזניות,Sxudio,87z_סוני WH-1000XM5
טלפון נייד,???,Pr Mx
???,סמסונג Galaxy S24,Unlock@d
rou,r7000,TP-Lnk rchr
5g,???,SM Crd
כבל USB,---,bRAIDED
ראוטר,סיסקו isr,R7u00
C5ble,USB-CtoLightning,Braided
מקלדת,RRGB,5a9_רייזר BlackWidow
כבל,jisplayPort 1.4,50ft
כרטיס סים,,ver
10c_SteelSeries Rival 3,Ms,wIRELESS
מצלמת אינטרנט,mic,4K
סמ,Nano SIM-ca0,at&t
כרטיס SIM,,AT&TT 797_Micro SIM
,mICROSOFT lIFEcAM Wbcm,10m0p60
מצלמת רשת,unknown,xK
unknown,eאל ג'יATO fACECAM,Studiio
,ipho,Ultra
מסך גיימינג,דל UltraShaarp,144Hz
mICROSOFT lIFEcAM,Stuuio,Webcam
ראוטרר,TP-Link Archer,X55
,דל xps 15,&2GB RAM
כרטיס סים,esim,5g
טלפון נייד,סוני WH-1000XM5-z62,oVER-eAR
מוניטור,De7l UltraSharp,559_4K
OcED,Mntr,דל UltraSharp
50ft,Cabl4,HDM 2.1
Mbl Phn,Pixel 8,Ultra
סמ,Micro SI%,7y5_AT&T
טלפון נייד,87b_iPhone 15,Ultra
sTEELsERIES rIVAL 3,wIRELESS,
מחשב נייד,דל ,cz0_OLED Touch
מחשב נייד,רייזרBlade15,23 Max
128GB,mOBILE pHONE,OnePlus 12-z0a
Kybrd,Corsair^K70,אלחוטיs
כבלל,SB-C t אל ג'יhtnng,Blue
Wireless-60c,Sennheiser HD 600-z28,Headphones
Ms,Lלוג'יטק MX Master 3,Wireed
,,HD Pr Wbcm
ראוטרר2,Netgear Nighthawk,0
Sennheiser HD 600,Headphones,St0dio
,b44_4K,we רייזר Kiyo
mob,Pro wax,סמסונג Galaxw S24
אוזניות,AicPods Max,Studio
zK,y76_Webcam,Microsoft Li^eCam
מסך,Ultrawid@,אזוס rog sWIFT
כבלל,Ethernet Cut6,2m
sams,Monitor,Ultrawidde
מחשב נייד,MacBook Pro  16,m3 mAX
Over-Ear,Sny WH-1000XM5,Hdphns
Samsung Odyssey G9,mONITOR,ltrwd
R70000,סייסקו ISR,rOUTER
טלפון נייד,iphon,Pro 5ax
TP-Link Archer,AAX55,05y_Router
???,,uNLOCKED
TP-LinkArcher,0zb_AX55,Router
Brdd,635_Cable,DisplayPort 1.4
ראוטר,0,
ראוטרר,סיסקוISR,4331/K9
Loggitech C920,Studioo,Wwbcam
Rofter,TP-Link Arch*r,v2
אוזניות,Sennheisser HD 600,
סים,e8IM,VVerizon
מחשב נייד,lENOVO tHINKpAD x1,a40_32GB RAM
אוזניות,Snnhsr HD 600,Over--Ear
עכבר,Opttical,
כבל USB,HDMI r.1,???
aIRpODS mAX,אלחוטי,hEADPHONES
מסך גיימינג,על ג'יי ltrGr,uLTRAWIDE
mob,Pro Maf,944_OnePlus 12
מקלדת,Corsaic K70,RGB
מאוס,SteelSeriies Rival 3,z41_Wired
thrnt Ct6,Blue,Cable
HD PPro,רייזרKiyo,
אוזניות,Sennheiser HD 600-yyb,Std
rou,TP-LinkArcher,240_AX55
אוזניות,,AirPods Max-8c6
אוזניות,senn,noi
,DisilayPort 1.4 Cable,2M
סייסקוISR,Routee,
מסך,9y1_144Hz,אל ג'י uLTRAgEAR
אוזניות קשת,sENNHEISER hd 600,Ns Cncllng
MacBookPro16,M3 Maax,5c0_Laptop
SM Crd,mICRO sim,AAT&T
